day,time,elapsed day time,turbo pressure (picobar),ion pump pressure (nTorr),start time,hrs to 24,
,,,,,,,
30-Aug,17:00,,40,,,,
2-Sep,10:40,0:00,30,,10:40,,
,10:55,10:55,30,,,,
,11:15,11:15,30,,,,
,11:45,11:45,30,,,,
,12:15,12:15,30,,,,
,13:15,13:15,34,,,,
,13:55,13:55,34,,,,
,14:25,14:25,40,,,,
,14:55,14:55,40,,,,
,15:25,15:25,46,,,,
,16:00,16:00,54,,,,
,16:42,16:42,63,,,,
,17:30,17:30,74,,,,
,18:30,18:30,100,,,5.5,
3-Sep,9:50,0:00,100,,9:50,,
,10:25,10:25,100,,,,
,10:45,10:45,100,,,,
,11:10,11:10,120,,,,
,11:30,11:30,120,,,,
,11:55,11:55,120,,,,
,13:50,13:50,160,,,,
,14:25,14:25,220,,,,
,15:00,15:00,220,,,,
,15:30,15:30,300,,,,
,16:05,16:05,630,,,,
,16:35,16:35,630,,,,
,17:10,17:10,540,,,,
,18:00,18:00,630,,,,
,18:30,18:30,630,,,,
,19:55,19:55,860,,,4.08,
4-Sep,10:30,0:00,340,,10:30,,
,11:30,11:30,340,,,,
,12:00,12:00,340,,,,
,12:30,12:30,340,,,,
,14:15,14:15,460,,,,
,14:50,14:50,540,,,,
,15:30,15:30,540,,,,
,16:00,16:00,630,,,,
,16:35,16:35,740,,,,
,17:05,17:05,740,,,,
,17:40,17:40,1000,,,,
,18:10,18:10,1000,,,,
,18:35,18:35,1000,,,,
,18:55,18:55,1000,,,,
,,,,,,,
5-Sep,11:40,0:00,400,,11:40,,
,13:40,13:40,340,,,,
,14:55,14:55,400,,,,
,16:50,16:50,460,,,,
,17:35,17:35,460,,,,
,17:50,17:50,460,,,,
,,,,,,,
6-Sep,8:35,0:00,340,,8:35,,
,10:05,10:05,340,,,,
,12:15,12:15,340,,,,
,14:35,14:35,340,,,,
,18:45,18:45,160,,,,
,19:25,19:25,34,,,,
,20:00,20:00,34,,,,
,20:55,20:55,34,,,,
,,,,,,,
7-Sep,9:50,0:00,30,,9:50,,
,12:40,2:50,25,21,,,
,15:50,6:00,25,19,,,
,,,,,,,
8-Sep,9:15,0:00,30,17,9:15,,
,13:35,4:20,22,14,,,
,,,,,,,
9-Sep,8:30,0:00,22,11,8:30,,
,14:20,5:50,22,11,,,
,18:20,9:50,22,10,,,
,,,,,,,
10-Sep,12:50,0:00,19,8.8,12:50,,
,16:45,3:55,19,8.4,,,
,,,,,,,
11-Sep,8:40,0:00,19,7.3,8:40,,
,18:30,9:50,19,7.4,,,
,,,,,,,
12-Sep,8:35,0:00,19,6.6,8:35,,
,13:25,4:50,19,6.5,,,
,15:40,7:05,19,6.6,,,
,17:20,8:45,19,6.6,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
